hotel_id,name,address,price,Rating,hotell_id,latitude,longtitude
1,A.C.C Design Hotel,"226-11, Geumnam-ro, Dong-gu, Gwangju 61482 South Korea",$222,4,h_1,35.159544,126.921612
2,Dasomchae,"27, Naesang-ro 51beon-gil, Gwangsan-gu, Gwangju 62431 South Korea",$97,4.5,h_2,35.139934,126.791239
4,Empire Tourist Hotel,"25, Imbangul-daero 800beon-gil, Gwangsan-gu, Gwangju 62277 South Korea",$242,3,h_4,35.190641,126.818301
5,CS Hotel,"128, Sangmupyeonghwa-ro, Seo-gu, Gwangju 61964 South Korea",$373,3.5,h_5,35.143942,126.877668
6,Madrid Business Hotel,"11, Gwangsan-ro 19beon-gil, Gwangsan-gu, Gwangju 62430 South Korea",$301,4,h_6,35.137109,126.791959
7,UTOP Boutique Hotel & Residence,"53, Sicheng-ro, Seo-gu, Gwangju 61949 South Korea",$245,4,h_7,35.146825,126.879512
8,"Holiday Inn Gwangju, Korea, an IHG Hotel","55, Sangmunuri-ro, Seo-gu Seo-Gu, Gwangju 61955 South Korea",$409,4,h_8,35.145163,126.876972
9,Hotel The May,"51, Sangmubeonyeong-ro, Seo-gu, Gwangju 61948 South Korea",$59,4.5,h_9,35.142859,126.878426
10,FNT Hotel,"31 Sangmuyeonha-ro, Seo-gu, Gwangju 61963 South Korea",$261,4.5,h_10,35.144986,126.877234
11,Dubai Hotel,"47, Sangmubeonyeong-ro, Seo-gu, Gwangju 61948 South Korea",$327,4.5,h_11,35.142859,126.878426
12,Ramada Plaza Gwangju,"149, Sangmujayu-ro, Seo-gu, Gwangju 61949 South Korea",$292,4,h_12,35.147939,126.875385
13,Boutique Hotel Wine,"140 Sangmupyeonghwa-ro, Seo-gu, Gwangju 61964 South Korea",$342,4,h_13,35.144275,126.877995
14,Tourist Hotel Masters,"46, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",$137,3,h_14,35.144898,126.877334
15,Biennale Motel,"104, Daeja-ro, Buk-gu, Gwangju 61262 South Korea",$120,3.5,h_15,35.176763,126.923598
16,Noble Stay Hotel,"19-7, Imbangul-daero 826beon-gil, Gwangsan-gu, Gwangju 62279 South Korea",$138,3,h_16,35.190907,126.819184
17,Hotel The Spot,"32, Amkor-ro, Buk-gu, Gwangju 61009 South Korea",$446,4.5,h_17,35.176763,126.923598
18,Hotel B,"6, Sicheong-ro 60beon-gil, Seo-gu, Gwangju 61948 South Korea",$364,4.5,h_18,35.146002,126.878339
19,Gwangju Palace Tourist Hotel,"13, Jungang-ro 160beon-gil, Dong-gu, Gwangju 61483 South Korea",$243,3,h_19,35.160835,126.925095
