address,id,image,latitude,longitude,name,numberOfReviews,phone,Ranking,rating,rawRanking
"16-10, Jungang-ro160beon-Gil, Gwangju South Korea",8962119,https://media-cdn.tripadvisor.com/media/photo-o/07/ff/a7/1d/minsokchon-chungjangno.jpg,35.147266,126.914,Hwangsol Village,65,+82 62-222-4815,1.0,4.5,3.40809273719788
"68, Saemal-gil 167beon-gil, Opo-eup, Gwangju, Gyeonggi-do 12771 South Korea",8776024,https://media-cdn.tripadvisor.com/media/photo-o/0e/c9/04/5b/photo4jpg.jpg,37.378227,127.16422,Caffeine Sinhyeon-ri,18,+82 70-5073-2424,1.0,4.5,3.17034292221069
"6-44, Seoseok-ro 7beon-gil, Dong-gu Second floor, Gwangju 61484 South Korea",8532439,https://media-cdn.tripadvisor.com/media/photo-o/0f/32/03/72/photo4jpg.jpg,35.146164,126.91585,First Nepal,41,+82 62-225-8771,2.0,4.0,3.27419543266296
"101, Buldang-Gil, Gwangju, Gyeonggi-do 12703 South Korea",9382959,https://media-cdn.tripadvisor.com/media/photo-o/0c/f0/14/d1/20160911-174130-largejpg.jpg,37.456097,127.20614,Nakseonjae,21,+82 31-746-3003,2.0,4.0,3.15000414848328
"299-2, Namjong-myeon, Gwangju, Gyeonggi-do South Korea",4033252,https://media-cdn.tripadvisor.com/media/photo-o/04/92/f2/a0/caption.jpg,37.39409,127.29232,Gangmaeul Daramjwi,16,+82 31-762-5574,3.0,4.0,3.13283634185791
"718, Sangmu-daero, Seo-gu, Gwangju 61999 South Korea",8285825,https://media-cdn.tripadvisor.com/media/photo-o/0b/94/82/b2/le-ciel-blue.jpg,35.14389,126.8425,Le Ciel Blue,24,+82 62-374-1555,5.0,4.5,3.21477150917053
"4, Seokdun-gil, Toechon-myeon, Gwangju, Gyeonggi-do 12712 South Korea",20264739,https://media-cdn.tripadvisor.com/media/photo-w/1b/f4/58/37/caption.jpg,37.477825,127.372765,La Taqueria,4,+82 31-767-8976,5.0,5.0,3.10225701332092
"20, Docheok-ro, Gonjiam-eup, Gwangju, Gyeonggi-do 12805 South Korea",8714342,https://media-cdn.tripadvisor.com/media/photo-o/0d/73/b5/bd/20161029-082048-largejpg.jpg,37.349796,127.33593,Choemija Someori Gukbap,14,+82 31-764-0257,6.0,4.0,3.091472864151
"38, Gungpyeonghacheon-Gil, Gwangju, Gyeonggi-do 12811 South Korea",9026127,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/70/7a/be/photo1jpg.jpg,37.33995,127.33581,Gungtteul,3,+82 31-766-0987,9.0,5.0,3.07786583900452
"San 23-1, Doung-ri, Docheok-myeon, Gwangju, Gyeonggi-do 464-881 South Korea",7776798,https://media-cdn.tripadvisor.com/media/photo-o/0c/61/ad/ab/la-grotta.jpg,37.336586,127.29389,La Grotta,7,+82 31-8026-5566,10.0,4.5,3.06663870811462
"17, Neungpyeong-ro, Opo-eup, Gwangju, Gyeonggi-do 12773 South Korea",6732906,https://media-cdn.tripadvisor.com/media/photo-m/1280/10/ae/56/47/img-20170916-192755-largejpg.jpg,37.354767,127.16589,Bongpyeong Memil Makguksu,5,+82 31-718-6116,13.0,4.5,3.05860114097595
