address,name,image,latitude,longitude,phone,Ranking,url,website
"1572-2 ??? Gwangsan-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipMy5U8QYHDDe74QLDTDPTgltDbjc7LF5_V_QCRd=w1920-h1080-k-no,35.165835,126.8065272,+82 62-952-5324,16,https://www.google.com/maps/search/?api=1&query=%EC%9A%B0%EB%AF%B8%EC%87%BC%ED%95%91&query_place_id=ChIJ2YooL8GIcTURUas3Sr-w7J4,
"South Korea, ??? 628-1?? ??2? ?? 2? 201? ??? ????? KR",Shopping mall,,35.2201561,126.8187552,,18,https://www.google.com/maps/search/?api=1&query=OK%EC%8B%A4%EB%B2%84%EB%AA%B0&query_place_id=ChIJMRW7va6PcTURN3a_NPEK_-c,
"14-1 Wolgok-ro, Gwangsan-gu, Gwangju, South Korea",Shopping mall,,35.1688021,126.8107079,+82 10-9035-6055,17,https://www.google.com/maps/search/?api=1&query=%EB%A6%B0%EC%95%84%EC%BF%A0%EC%95%84&query_place_id=ChIJE8bSsrmJcTURdFtDlzyyLcM,
"114 Uchi-ro, Buk-gu, Gwangju, South Korea",Cosmetics store,https://lh5.googleusercontent.com/p/AF1QipNsLy2Mg782VdUNLTJs2uU_02ecjzHx8EVpEzBJ=w1920-h1080-k-no,35.177605,126.9124049,+82 62-267-5090,91,https://www.google.com/maps/search/?api=1&query=Olive%20Young&query_place_id=ChIJcTcKQP-McTURnP7IBKWjJjU,http://www.oliveyoung.co.kr/
"3 Hyosan-ro, ??? Buk-gu, Gwangju, South Korea",Coffee shop,https://lh5.googleusercontent.com/p/AF1QipNKpVXGY58cVk9a5lF2LoGBkr53oVP6FgRXVA8R=w1920-h1080-k-no,35.1808576,126.9123208,,88,https://www.google.com/maps/search/?api=1&query=HB%20COFFEE&query_place_id=ChIJy0EUu0uNcTURtMVARENCWIc,
"South Korea, ??? 160-4?? 1? ?? ????? KR",Watch store,,35.1761897,126.9129582,,89,https://www.google.com/maps/search/?api=1&query=SOVO&query_place_id=ChIJtRMezfiMcTURGJBczq1XeMg,
"South Korea, Gwangju, Buk-gu, Yongbong-dong, ?? 1? 693-6",Tire shop,,35.1723949,126.897213,+82 61-527-5989,90,https://www.google.com/maps/search/?api=1&query=%EB%84%A5%EC%84%BC%ED%83%80%EC%9D%B4%EC%96%B4(%EC%A3%BC)%ED%83%80%EC%9D%B4%EC%96%B4%ED%85%8C%ED%81%AC%EC%A0%84%EB%82%A8%EB%8C%80%EC%A0%90%EC%A7%81%EC%98%81%EC%A0%90&query_place_id=ChIJrc-TeESMcTURLZFFMUgqsko,
"160-22 Yongbong-dong, Buk-gu, Gwangju, South Korea",Cosmetics store,https://lh5.googleusercontent.com/p/AF1QipN9MaSkD9RM1jiPAQQ-ai4920jzaAZiHTuXE52-=w1920-h1080-k-no,35.1755445,126.9127617,+82 62-268-7891,86,https://www.google.com/maps/search/?api=1&query=The%20Face%20Shop&query_place_id=ChIJLTqZxviMcTUR-drsFkuLkBM,http://www.thefaceshop.com/
"410 Mudeung-ro, Dong-gu, Gwangju, South Korea",Shopping mall,,35.1591206,126.9269623,+82 70-7635-1500,85,https://www.google.com/maps/search/?api=1&query=%EB%9F%AC%EB%B8%94%EB%A6%AC%EB%B2%A0%EC%9D%B4%EB%B9%84&query_place_id=ChIJ7avmg-yMcTUREyjnpXy9k8k,http://www.xn--vl2b25a22dqxb6g171c.com/
"64-1, Yongju-ro 30beon-gil, Buk-gu, Gwangju, South Korea",Coffee shop,https://lh5.googleusercontent.com/p/AF1QipPB3gKr5SBlOWXxfgJi0YIjji-IiwOCOIe9yXgs=w1920-h1080-k-no,35.1806604,126.9043484,,87,https://www.google.com/maps/search/?api=1&query=ALIBABA%20COFFEE%20%26%20DONUT&query_place_id=ChIJAcnSv1OMcTURdF3tGbsPTbQ,http://alibabadonut.com/
